SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
CKNPGR5506C;5506C;PIZZAGROUP;Oven Napoli 550 (Electric);Electric oven for Neapolitan pizza with extractor hood and controlled-temperature proofer;"550 is equipped with a microprocessor that manages all the oven's functions. The use of the latest generation electronics allows to have a constant control of the oven chamber temperature, front to back. In addition, thanks to its intelligent heat management system, 550 is able to uniform the temperature inside the cooking chamber to achieve optimal heating uniformity.Max temp 515°C; microprocessor-managed intelligent heat control; full refractory chamber; 5'' touch panel; extractor hood with auto aspiration + LED; controlled-temperature proofer; internal lights 12V; increased insulation; removable chamber door; useful top in food-grade sintered natural stone.";118;cm;172.5;cm;182.5;cm;565;kg;16500.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity (pizzas Ø cm);6 x Ø 30/34;Proofer capacity;12 x (60x40 H9 max);Electrical supply;16,4 Kw, 400V, 3N+T, 50 Hz;Hood airflow;662 m3/h;Chamber height;20 cm;Internal surface (LxP cm);75 x 105;active;https://www.youtube.com/watch?v=tAFGmdwCe6Y;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_5506C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_5506C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_5506C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_5506C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_5506C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGR5509C;5509C;PIZZAGROUP;Oven Napoli 550 (Electric);Electric oven for Neapolitan pizza with extractor hood and controlled-temperature proofer;"550 is equipped with a microprocessor that manages all the oven's functions. The use of the latest generation electronics allows to have a constant control of the oven chamber temperature, front to back. In addition, thanks to its intelligent heat management system, 550 is able to uniform the temperature inside the cooking chamber to achieve optimal heating uniformity.Max temp 515°C; microprocessor-managed intelligent heat control; full refractory chamber; 5'' touch panel; extractor hood with auto aspiration + LED; controlled-temperature proofer; internal lights 12V; increased insulation; removable chamber door; useful top in food-grade sintered natural stone.";153;cm;172.5;cm;182.5;cm;725;kg;19250.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity (pizzas Ø cm);9 x Ø 30/34;Proofer capacity;24 x (60x40 H9 max);Electrical supply;23,6 Kw, 400V, 3N+T, 50 Hz;Hood airflow;662 m3/h;Chamber height;20 cm;Internal surface (LxP cm);105 x 105;active;https://www.youtube.com/watch?v=tAFGmdwCe6Y;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_5509C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_5509C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_5509C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_5509C.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_5509C.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRAR300;AR300;PIZZAGROUP;Rounder;Automatic rounder for dough balls;The automatic dividers and rounders are a great help for professionals who require precise yet fast support whilst preparing pizza bases. The equipment divides and rounds the dough, before leaving it to prove. The divider is equipped with: a tank which boasts a maximum capacity of 30 kg of dough and 5 bushings, each with a different diameter (from 4 to 6 cm). Set the desired weight and the measured portions will almost immediately begin to take shape. The rounder produces perfectly round balls, thanks to its Teflon-coated aluminium internal spiral. Available in two sizes, depending on your needs: Model SA300 - which allows for portions ranging from 50 to 300 gr. Model SA800 - which in combination with Model AR 800, allows for portions up to a maximum of 900 gr (or 3 portions of 300 gr each).By combining the two pieces of equipment - a divider and a rounder - pizza makers will save a considerable amount of time, whilst also reducing their manual workload. Power 0.37 kW | 400V 3+T 50Hz | Dimensions 44x56x79 cm | Net weight 55 kg;44;cm;56;cm;79;cm;55;kg;3960;;EUR;;;Preparation> Portioning and Rounding > Rounders;Pizzagroup, Pizzeria, Pizza;;;;simple;;Power;0.37 kW;Voltage;400V 3+T 50Hz;;;;;;;;;active;https://www.youtube.com/watch?v=uxE4v55P3mU;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_AR300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_AR300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_AR300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_AR300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_AR300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRAR800;AR800;PIZZAGROUP;Rounder;Automatic rounder for large dough balls;The automatic dividers and rounders are a great help for professionals who require precise yet fast support whilst preparing pizza bases. The equipment divides and rounds the dough, before leaving it to prove. The divider is equipped with: a tank which boasts a maximum capacity of 30 kg of dough and 5 bushings, each with a different diameter (from 4 to 6 cm). Set the desired weight and the measured portions will almost immediately begin to take shape. The rounder produces perfectly round balls, thanks to its Teflon-coated aluminium internal spiral. Available in two sizes, depending on your needs: Model SA300 - which allows for portions ranging from 50 to 300 gr. Model SA800 - which in combination with Model AR 800, allows for portions up to a maximum of 900 gr (or 3 portions of 300 gr each).By combining the two pieces of equipment - a divider and a rounder - pizza makers will save a considerable amount of time, whilst also reducing their manual workload. Power 0.37 kW | 400V 3+T 50Hz | Dimensions 50x61x83 cm | Net weight 86 kg;50;cm;61;cm;83;cm;86;kg;6479;;EUR;;;Preparation> Portioning and Rounding > Rounders;Pizzagroup, Pizzeria, Pizza;;;;simple;;Power;0.37 kW;Voltage;400V 3+T 50Hz;;;;;;;;;active;https://www.youtube.com/watch?v=uxE4v55P3mU;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_AR800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_AR800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_AR800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_AR800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_AR800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRCO300;CO300;PIZZAGROUP;Divider + Rounder combo;SA300 + AR300 + SPSA, max 300g portions;The automatic dividers and rounders are a great help for professionals who require precise yet fast support whilst preparing pizza bases. The equipment divides and rounds the dough, before leaving it to prove. The divider is equipped with: a tank which boasts a maximum capacity of 30 kg of dough and 5 bushings, each with a different diameter (from 4 to 6 cm). Set the desired weight and the measured portions will almost immediately begin to take shape. The rounder produces perfectly round balls, thanks to its Teflon-coated aluminium internal spiral. Available in two sizes, depending on your needs: Model SA300 - which allows for portions ranging from 50 to 300 gr. Model SA800 - which in combination with Model AR 800, allows for portions up to a maximum of 900 gr (or 3 portions of 300 gr each).By combining the two pieces of equipment - a divider and a rounder - pizza makers will save a considerable amount of time, whilst also reducing their manual workload. Combination of SA300 divider, AR300 rounder and SPSA stand | Output 340 pcs/h | Bowl capacity 30 kg | Portion range 50–300 g | Power 0.3 / 0.325 kW | 400V 3+T 50Hz;66;cm;88;cm;148;cm;153;kg;12471;;EUR;;;Preparation> Portioning and Rounding;Pizzagroup, Pizzeria, Pizza;;;;simple;;Output/h;340 pcs;Bowl capacity;30 kg;Portion range;50–300 g;Power;0.3 / 0.325 kW;Voltage;400V 3+T 50Hz;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_CO300.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_CO300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_CO300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_CO300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_CO300.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_CO300.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRCO800;CO800;PIZZAGROUP;Divider + Rounder combo;SA800 + AR800 + SPSA, max 900g portions;The automatic dividers and rounders are a great help for professionals who require precise yet fast support whilst preparing pizza bases. The equipment divides and rounds the dough, before leaving it to prove. The divider is equipped with: a tank which boasts a maximum capacity of 30 kg of dough and 5 bushings, each with a different diameter (from 4 to 6 cm). Set the desired weight and the measured portions will almost immediately begin to take shape. The rounder produces perfectly round balls, thanks to its Teflon-coated aluminium internal spiral. Available in two sizes, depending on your needs: Model SA300 - which allows for portions ranging from 50 to 300 gr. Model SA800 - which in combination with Model AR 800, allows for portions up to a maximum of 900 gr (or 3 portions of 300 gr each).By combining the two pieces of equipment - a divider and a rounder - pizza makers will save a considerable amount of time, whilst also reducing their manual workload. Combination of SA800 divider, AR800 rounder and SPSA stand | Output 340 pcs/h | Bowl capacity 30 kg | Portion range 50–900 g | Power 0.3 / 0.325 kW | 400V 3+T 50Hz;66;cm;88;cm;161;cm;194;kg;16493;;EUR;;;Preparation> Portioning and Rounding;Pizzagroup, Pizzeria, Pizza;;;;simple;;Output/h;340 pcs;Bowl capacity;30 kg;Portion range;50–900 g;Power;0.3 / 0.325 kW;Voltage;400V 3+T 50Hz;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_CO800.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_CO800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_CO800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_CO800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_CO800.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_CO800.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFL4;FL4;PIZZAGROUP;Accessory - Flame oven - Frame for stacked ovens;Frame for superimposed ovens (includes 50 cm pipe and chimney). For FLAME ovens;Frame for superimposed ovens (includes 50 cm pipe and chimney). For FLAME ovens;112.0;cm;73.0;cm;8.0;cm;13.0;kg;239.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;;;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FL4.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FL4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FL4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FL4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FL4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FL4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFL6;FL6;PIZZAGROUP;Accessory - Flame oven - Frame for stacked ovens;Frame for superimposed ovens (includes 50 cm pipe and chimney). For FLAME ovens;Frame for superimposed ovens (includes 50 cm pipe and chimney). For FLAME ovens;112.0;cm;108.0;cm;8.0;cm;15.0;kg;239.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;;;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FL6.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FL6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FL6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FL6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FL6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FL6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFLAME4;FLAME4;PIZZAGROUP;Gas Pizza Oven;Gas pizza oven - 4 x Ø 30/34 (methane/LPG).;The practical, cost-effective and safe professional gas oven for the pizzeria industry is a very popular model, namely because it is suited to numerous environments. Many a client has opted for it, due to its ease of use and guaranteed energy savings. As a result, Pizza Group wanted to expand the range, by introducing a new family member: the Flame 6L model. Flame is powered by methane or LPG. The combined layout of the burners and Activestone technology provides for uniform cooking throughout the chamber, thus optimising time and energy consumption. The Flame gas oven is certified and tested on an annual basis. Furthermore, unlike similar products, it requires very little in the way of maintenance. It must be installed by qualified personnel.Gas pizza oven (methane/LPG).;113.0;cm;110.0;cm;47.0;cm;132.0;kg;5004.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity;4xØ30/34;Gas power (kW);14.0;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FLAME4.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FLAME4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FLAME4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FLAME4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FLAME4.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FLAME4.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFLAME6;FLAME6;PIZZAGROUP;Gas Pizza Oven;Gas pizza oven - 6 x Ø 30/34 (methane/LPG).;The practical, cost-effective and safe professional gas oven for the pizzeria industry is a very popular model, namely because it is suited to numerous environments. Many a client has opted for it, due to its ease of use and guaranteed energy savings. As a result, Pizza Group wanted to expand the range, by introducing a new family member: the Flame 6L model. Flame is powered by methane or LPG. The combined layout of the burners and Activestone technology provides for uniform cooking throughout the chamber, thus optimising time and energy consumption. The Flame gas oven is certified and tested on an annual basis. Furthermore, unlike similar products, it requires very little in the way of maintenance. It must be installed by qualified personnel.Gas pizza oven (methane/LPG).;113.0;cm;150.0;cm;47.0;cm;164.0;kg;5632.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity;6xØ30/34;Gas power (kW);20.0;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FLAME6.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FLAME6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FLAME6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FLAME6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FLAME6.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FLAME6.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFLAME6L;FLAME6L;PIZZAGROUP;Gas Pizza Oven;Gas pizza oven - 6 x Ø 30/34(methane/LPG).;The practical, cost-effective and safe professional gas oven for the pizzeria industry is a very popular model, namely because it is suited to numerous environments. Many a client has opted for it, due to its ease of use and guaranteed energy savings. As a result, Pizza Group wanted to expand the range, by introducing a new family member: the Flame 6L model. Flame is powered by methane or LPG. The combined layout of the burners and Activestone technology provides for uniform cooking throughout the chamber, thus optimising time and energy consumption. The Flame gas oven is certified and tested on an annual basis. Furthermore, unlike similar products, it requires very little in the way of maintenance. It must be installed by qualified personnel.Gas pizza oven (methane/LPG).;148.0;cm;110.0;cm;47.0;cm;164.0;kg;5406.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity;6xØ30/34;Gas power (kW);21.0;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FLAME6L.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FLAME6L.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FLAME6L.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FLAME6L.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FLAME6L.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FLAME6L.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
CKNPGRFLAME9;FLAME9;PIZZAGROUP;Gas Pizza Oven;Gas pizza oven - 9 x Ø 30/34(methane/LPG).;The practical, cost-effective and safe professional gas oven for the pizzeria industry is a very popular model, namely because it is suited to numerous environments. Many a client has opted for it, due to its ease of use and guaranteed energy savings. As a result, Pizza Group wanted to expand the range, by introducing a new family member: the Flame 6L model. Flame is powered by methane or LPG. The combined layout of the burners and Activestone technology provides for uniform cooking throughout the chamber, thus optimising time and energy consumption. The Flame gas oven is certified and tested on an annual basis. Furthermore, unlike similar products, it requires very little in the way of maintenance. It must be installed by qualified personnel.Gas pizza oven (methane/LPG).;148.0;cm;150.0;cm;47.0;cm;196.0;kg;6589.0;;EUR;;;Cooking>Oven>Pizza;Pizzagroup, Pizzeria, Pizza, Oven;;;;simple;;Capacity;9xØ30/34;Gas power (kW);29.0;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_video_FLAME9.mp4;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_FLAME9.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_2_FLAME9.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_image_3_FLAME9.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_datasheet_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_manual_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_technicalmanual_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_drawing_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_catalogue_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_photo_FLAME9.jpg;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_card_FLAME9.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/pizzagroup/refs/heads/main/pizzagroup_price.pdf
